Date,Close,Predictions
2018-10-03,112.11,112.624695
2018-10-04,109.8,112.75389
2018-10-05,109.15,112.01915
2018-10-08,107.91,111.04933
2018-10-09,109.28,109.90596
2018-10-10,103.34,109.5645
2018-10-11,103.1,107.58271
2018-10-12,106.66,105.717705
2018-10-15,104.74,105.72081
2018-10-16,108.05,105.673355
2018-10-17,107.77,106.80284
2018-10-18,105.62,107.84967
2018-10-19,105.77,107.82216
2018-10-22,106.72,107.52635
2018-10-23,105.23,107.541985
2018-10-24,99.6,107.12035
2018-10-25,105.42,104.794365
2018-10-26,104.12,104.60755
2018-10-29,101.09,104.66843
2018-10-30,100.98,103.79128
2018-10-31,103.97,102.897385
2018-11-01,103.11,103.29798
2018-11-02,103.34,103.67643
2018-11-05,104.66,104.021194
2018-11-06,104.86,104.68891
2018-11-07,108.99,105.29425
2018-11-08,108.78,107.06762
2018-11-09,106.66,108.518166
2018-11-12,104.03,108.65792
2018-11-13,104.1,107.42858
2018-11-14,102.62,106.16584
2018-11-15,104.88,104.76903
2018-11-16,105.87,104.54552
2018-11-19,102.28,105.093414
2018-11-20,99.44,104.51412
2018-11-21,100.81,102.85825
2018-11-23,100.77,101.88718
2018-11-26,104.09,101.43424
2018-11-27,104.75,102.432785
2018-11-28,108.64,103.79659
2018-11-29,107.73,106.17006
2018-11-30,108.41,107.76584
2018-12-03,109.59,108.82258
2018-12-04,106.09,109.72492
2018-12-06,106.75,109.04425
2018-12-07,102.48,108.28992
2018-12-10,105.19,106.26856
2018-12-11,106.16,105.4289
2018-12-12,106.64,105.54065
2018-12-13,107.0,106.09656
2018-12-14,103.66,106.76257
2018-12-17,100.59,106.139786
2018-12-18,101.65,104.313416
2018-12-19,101.37,103.07758
2018-12-20,99.24,102.331924
2018-12-21,96.03,101.29136
2018-12-24,92.03,99.46184
2018-12-26,98.31,96.686424
2018-12-27,98.92,96.648994
2018-12-28,98.15,97.6879
2018-12-31,99.3,98.52114
2019-01-02,98.86,99.44231
2019-01-03,95.22,99.94436
2019-01-04,99.65,98.923164
2019-01-07,99.78,99.22524
2019-01-08,100.5,99.83241
2019-01-09,101.94,100.564255
2019-01-10,101.28,101.560555
2019-01-11,100.5,102.06602
2019-01-14,99.77,101.96922
2019-01-15,102.66,101.442024
2019-01-16,103.03,101.89511
2019-01-17,103.75,102.59834
2019-01-18,105.3,103.38743
2019-01-22,103.32,104.46011
2019-01-23,104.33,104.58746
2019-01-24,103.83,104.7157
2019-01-25,104.78,104.60857
2019-01-28,102.73,104.77364
2019-01-29,100.64,104.267265
2019-01-30,104.0,103.02388
2019-01-31,102.1,103.09667
2019-02-01,100.48,102.909195
2019-02-04,103.38,102.19198
2019-02-05,104.82,102.54457
2019-02-06,103.66,103.60482
2019-02-07,102.92,104.16713
2019-02-08,103.31,104.16198
2019-02-11,102.9,104.11375
2019-02-12,104.5,103.91848
2019-02-13,104.42,104.27608
2019-02-14,104.51,104.65187
2019-02-15,105.8,104.94376
2019-02-19,105.75,105.54782
2019-02-20,105.2,106.02477
2019-02-21,107.42,106.11642
2019-02-22,108.95,106.802536
2019-02-25,109.56,107.94726
2019-02-26,110.32,109.056305
2019-02-27,110.13,110.03978
2019-02-28,109.99,110.57894
2019-03-01,110.49,110.73668
2019-03-04,110.22,110.87266
2019-03-05,109.67,110.84513
2019-03-06,109.72,110.58123
2019-03-07,108.38,110.3474
2019-03-08,108.5,109.74736
2019-03-11,110.78,109.2883
2019-03-12,111.56,109.811516
2019-03-13,112.42,110.744804
2019-03-14,112.51,111.816
2019-03-15,113.8,112.62233
2019-03-18,115.43,113.526024
2019-03-19,115.51,114.70662
2019-03-20,115.38,115.59329
2019-03-21,118.04,116.03817
2019-03-22,114.92,117.091705
2019-03-25,115.52,116.8819
2019-03-26,115.77,116.559204
2019-03-27,114.65,116.37078
2019-03-28,114.81,115.89588
2019-03-29,115.8,115.55589
2019-04-01,116.86,115.71937
2019-04-02,117.02,116.36251
2019-04-03,117.79,117.01539
2019-04-04,117.19,117.7396
2019-04-05,117.71,118.04691
2019-04-08,117.75,118.30843
2019-04-09,117.11,118.47579
2019-04-10,118.01,118.33487
2019-04-11,118.14,118.45478
2019-04-12,118.75,118.65387
2019-04-15,118.85,119.02512
2019-04-16,118.58,119.36297
2019-04-17,119.56,119.48989
2019-04-18,121.13,119.8498
2019-04-22,121.51,120.69755
2019-04-23,123.16,121.53986
2019-04-24,122.74,122.670586
2019-04-25,126.8,123.355354
2019-04-26,127.53,125.07343
2019-04-29,127.41,126.753334
2019-04-30,128.23,127.804756
2019-05-01,125.56,128.57405
2019-05-02,123.92,128.03485
