epoch,loss,val_loss
0,0.00039775323239155114,0.00012316874926909804
1,4.001459456048906e-05,9.406742174178362e-05
2,3.328348611830734e-05,0.0001049046331900172
3,3.727645525941625e-05,8.95689518074505e-05
4,3.057882349821739e-05,8.93747856025584e-05
5,3.791570270550437e-05,0.00016392860561609268
6,3.045431549253408e-05,0.0001217769822687842
7,3.4469681850168854e-05,0.00033882446587085724
8,3.1188217690214515e-05,0.00013836065772920847
9,3.1260093237506226e-05,0.00014005285629536957
10,2.6208026611129753e-05,8.568847988499328e-05
11,3.0331415473483503e-05,0.00010851160186575726
12,2.5782472221180797e-05,8.35079190437682e-05
13,2.7644327929010615e-05,7.06379723851569e-05
14,2.1566467694356106e-05,7.241570710903034e-05
15,2.0349840269773267e-05,6.758056406397372e-05
16,2.551135366957169e-05,7.327077037189156e-05
17,2.1657393517671153e-05,0.00016958783089648932
18,1.9833754777209833e-05,6.66654814267531e-05
19,2.207297984568868e-05,6.481695163529366e-05
20,2.3548305762233213e-05,7.118819485185668e-05
21,1.9095952666248195e-05,7.13399494998157e-05
22,1.7260095773963258e-05,5.864302147529088e-05
23,1.9084252926404588e-05,8.673904085299e-05
24,1.6539224816369824e-05,0.00018477316189091653
25,1.672297548793722e-05,5.730178963858634e-05
26,1.8420074411551468e-05,5.001709359930828e-05
27,1.87566638487624e-05,4.8011170292738825e-05
28,1.4117706996330526e-05,4.847031596000306e-05
29,1.4748811736353673e-05,4.42157470388338e-05
30,1.3948299965704791e-05,4.6629687858512625e-05
31,1.438518211216433e-05,5.189646617509425e-05
32,1.4547309547197074e-05,4.4059037463739514e-05
33,1.2637331565201748e-05,4.472852378967218e-05
34,1.2142484592914116e-05,4.523267853073776e-05
35,1.2764660823449958e-05,3.993379505118355e-05
36,1.1425590855651535e-05,9.893010428640991e-05
37,1.0082134394906461e-05,7.89711921242997e-05
38,1.088690714823315e-05,3.778521568165161e-05
39,1.0659010513336398e-05,4.971932867192663e-05
40,9.562660125084221e-06,7.241365528898314e-05
41,1.2369345313345548e-05,3.8445767131634057e-05
42,9.960541319742333e-06,6.361037958413363e-05
43,1.3969366591481958e-05,0.00011479972454253584
44,9.200038221024442e-06,3.8114969356684014e-05
45,1.0434302566864062e-05,3.8089299778221175e-05
46,1.0259865121042822e-05,4.0994953451445326e-05
47,1.3098830095259473e-05,5.2226456318749115e-05
48,1.0159440535062458e-05,5.086287637823261e-05
49,1.0222922355751507e-05,5.673714986187406e-05
