epoch,loss,val_loss
0,0.0005415221676230431,0.00010103215026902035
1,3.1625957490177825e-05,0.0001626900484552607
2,3.0200577384675853e-05,8.94983095349744e-05
3,2.7944581233896315e-05,9.085184137802571e-05
4,3.2084073609439656e-05,0.0003230050497222692
5,3.407532858545892e-05,8.522141433786601e-05
6,2.663599661900662e-05,0.0001106341733247973
7,2.6478932340978645e-05,0.00018465345783624798
8,2.8100437702960335e-05,7.857994933146983e-05
9,2.8613336326088756e-05,8.35751197882928e-05
10,2.6095050998264924e-05,0.00013069878332316875
11,2.6206380425719544e-05,7.156719220802188e-05
12,3.766826557694003e-05,7.583021215396002e-05
13,2.229817255283706e-05,6.938082515262067e-05
14,2.352391129534226e-05,8.181636803783476e-05
15,2.2453541532740928e-05,6.814013613620773e-05
16,1.9650204194476828e-05,8.603903552284464e-05
17,2.856898936443031e-05,0.00048382129170931876
18,2.133111047442071e-05,0.00013502457295544446
19,2.03999243240105e-05,6.239374488359317e-05
20,1.9098100892733783e-05,6.459801079472527e-05
21,2.0050223611178808e-05,9.885165491141379e-05
22,1.84507680387469e-05,5.778130434919149e-05
23,1.848342981247697e-05,0.00013873048010282218
24,1.781228456820827e-05,9.347174636786804e-05
25,1.7825788745540194e-05,0.00010589914018055424
26,1.6741118088248186e-05,0.00019754220556933433
27,1.7590240531717427e-05,0.0001457590115023777
28,1.5736242858110927e-05,6.707265856675804e-05
29,1.4001893759996165e-05,4.67096506326925e-05
30,1.4435141565627418e-05,6.579552427865565e-05
31,1.3321672668098472e-05,5.8214092859998345e-05
32,1.503124167356873e-05,4.895409074379131e-05
33,1.5100126802281011e-05,4.4854670704808086e-05
34,1.6964093447313644e-05,5.383661846281029e-05
35,1.3354624570638407e-05,4.304091271478683e-05
36,1.3007653251406737e-05,4.0177041228162125e-05
37,1.1159230780322105e-05,5.5951801186893135e-05
38,1.1868821275129449e-05,5.527287794393487e-05
39,1.4131028365227394e-05,0.00031429759110324085
40,1.3174781088309828e-05,5.116164538776502e-05
41,1.1174655810464174e-05,3.92662150261458e-05
42,1.411125049344264e-05,3.877881317748688e-05
43,1.1476726285764016e-05,3.8719728763680905e-05
44,9.57292922976194e-06,3.8153335481183603e-05
45,1.186325062008109e-05,4.849372271564789e-05
46,1.0687898793548811e-05,3.9527822082163766e-05
47,1.1440878552093636e-05,3.87893887818791e-05
48,1.1588495908654295e-05,3.7889920349698514e-05
49,1.5782881746417843e-05,4.103932224097662e-05
